N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s_AP	S_AP	Sigma	sigma	Simu_AP	Simu_PL_0	Simu_PL_s	Simu_PL_S
12	2	2	1	1	4	100	1	19	381.3346916	9	38	5	3	381.55124	397.63512	385.06958	387.86482
12	2	2	1	1	4	100	1	29	428.3801806	9	39	5	3	428.07194	448.83043	431.61186	434.26059
12	2	2	1	1	4	100	3	9	434.0238262	4	28	5	1	434.2233	447.47292	443.69211	457.94001
12	2	2	1	1	4	100	3	19	508.3169845	7	28	5	2	507.97658	535.71734	520.88568	534.88958
12	2	2	1	1	4	100	3	29	565.0029602	8	28	5	2	565.05348	604.00947	579.47379	592.69427
12	2	2	1	1	4	100	5	9	480.1119325	4	22	5	1	480.22786	496.49977	495.41753	526.50134
12	2	2	1	1	4	100	5	19	566.1447128	7	24	5	2	566.55086	599.20521	588.48102	615.67163
12	2	2	1	1	4	100	5	29	631.1588983	8	25	5	2	630.84261	677.88177	654.47389	680.59503
12	2	2	1	1	4	200	1	9	467.9124949	3	61	5	2	467.88847	472.8409	469.5476	471.21945
12	2	2	1	1	4	200	1	19	535.4433694	6	64	5	3	534.99163	543.79946	536.72187	538.30233
12	2	2	1	1	4	200	1	29	588.1381674	7	66	5	3	587.24678	598.72585	588.88588	590.4309
12	2	2	1	1	4	200	3	9	640.3162493	3	31	5	1	640.20154	651.50626	648.18091	660.1279
12	2	2	1	1	4	200	3	19	727.6905487	6	34	5	2	727.65719	749.08387	737.07906	747.53728
12	2	2	1	1	4	200	3	29	792.1459465	7	35	5	2	792.22696	822.54675	802.46192	812.0681
12	2	2	1	1	4	200	5	9	717.3488648	1	28	5	1	717.66927	729.60021	728.69186	751.39604
12	2	2	1	1	4	200	5	19	836.1561906	4	31	5	2	836.34484	860.89569	852.09619	871.52757
12	2	2	1	1	4	200	5	29	915.6557118	6	32	5	2	915.62087	951.5684	932.78509	951.81985
12	2	2	2	1	3	50	1	9	268.0618368	9	36	8	4	268.00738	281.49856	272.12911	276.19666
12	2	2	2	1	3	50	1	19	352.4661454	11	37	8	5	352.73425	375.51221	357.33214	360.94702
12	2	2	2	1	3	50	1	29	429.9615232	12	38	8	5	429.79868	457.88982	434.3495	437.91482
12	2	2	2	1	3	50	3	9	348.263262	8	24	8	2	348.37509	372.41805	364.23603	383.85105
12	2	2	2	1	3	50	3	19	449.8347578	10	25	8	3	449.54515	492.6514	468.79707	487.86642
12	2	2	2	1	3	50	3	29	537.1507333	11	25	8	4	536.59131	593.68216	557.98578	576.7476
12	2	2	2	1	3	50	5	9	387.1456603	7	21	8	2	387.05581	414.31789	411.13789	443.72527
12	2	2	2	1	3	50	5	19	499.9710521	9	22	8	3	500.10523	552.13711	532.44408	566.1836
12	2	2	2	1	3	50	5	29	594.4919606	11	22	8	3	594.71384	665.6664	631.4889	665.59904
12	2	2	2	1	3	100	1	9	370.2623807	9	37	8	4	370.14251	382.92881	374.03609	377.9204
12	2	2	2	1	3	100	1	19	456.3651899	11	40	8	5	456.36806	476.21793	460.40764	463.85575
12	2	2	2	1	3	100	1	29	534.5644886	12	41	8	5	535.01776	561.31496	538.98703	542.34075
12	2	2	2	1	3	100	3	9	495.0677884	6	29	8	2	495.25489	515.23048	507.81019	524.33092
12	2	2	2	1	3	100	3	19	605.6620491	9	29	8	3	605.58096	644.19143	621.66407	638.40229
12	2	2	2	1	3	100	3	29	696.3441764	10	29	8	4	696.04161	748.40372	713.31094	729.46573
12	2	2	2	1	3	100	5	9	550.8188017	6	23	8	2	550.87454	575.30666	571.48167	604.28338
12	2	2	2	1	3	100	5	19	679.292353	8	25	8	3	679.20643	726.36861	706.13389	738.0999
12	2	2	2	1	3	100	5	29	781.0329093	9	26	8	3	781.21927	846.83815	810.6927	841.53134
12	2	2	2	1	3	200	1	9	511.9171165	5	63	8	4	511.87932	518.90328	513.79802	515.85719
12	2	2	2	1	3	200	1	19	611.1746985	8	66	8	5	611.07542	623.14137	613.04173	615.00125
12	2	2	2	1	3	200	1	29	694.8028023	10	68	8	5	694.45394	709.44665	696.24329	698.21189
12	2	2	2	1	3	200	3	9	703.4585634	5	32	8	2	703.42541	720.16694	713.66657	727.35677
12	2	2	2	1	3	200	3	19	828.8944026	8	36	8	3	828.55422	858.83148	840.03203	852.36424
12	2	2	2	1	3	200	3	29	927.0370487	9	37	8	4	926.50351	967.77486	938.40157	950.13654
12	2	2	2	1	3	200	5	9	794.3912617	3	29	8	2	794.74372	812.56336	809.4831	835.10749
12	2	2	2	1	3	200	5	19	956.5258287	6	32	8	3	956.17265	992.03629	974.93564	998.34328
12	2	2	2	1	3	200	5	29	1072.25566	8	33	8	3	1072.17763	1125.87838	1094.39346	1118.60914
12	2	2	3	1	2	50	1	9	311.9554134	11	38	10	5	311.99327	324.11456	315.58102	318.76497
12	2	2	3	1	2	50	1	19	428.5734947	13	39	10	6	428.04737	446.66129	431.81051	434.78406
12	2	2	3	1	2	50	1	29	537.163818	14	40	10	6	537.4228	558.01077	541.22662	544.08566
12	2	2	3	1	2	50	3	9	410.5332011	9	25	10	4	410.25244	433.21702	424.86091	439.49359
12	2	2	3	1	2	50	3	19	550.2099201	12	26	10	5	550.26663	587.96814	567.80995	582.63849
12	2	2	3	1	2	50	3	29	671.8646678	13	27	10	5	671.70811	720.91299	690.49193	704.95902
12	2	2	3	1	2	50	5	9	460.1259	9	22	10	3	459.87584	486.40982	482.8958	505.54928
12	2	2	3	1	2	50	5	19	616.1507549	11	23	10	4	615.9806	664.24421	645.71466	669.54746
12	2	2	3	1	2	50	5	29	748.5777541	12	24	10	5	749.52897	813.19644	782.55466	806.37178
12	2	2	3	1	2	100	1	9	414.2422568	10	39	10	5	414.42321	426.08784	417.7237	420.82155
12	2	2	3	1	2	100	1	19	532.5192162	13	42	10	6	532.88931	549.79418	536.24471	539.06836
12	2	2	3	1	2	100	1	29	641.8181237	14	43	10	6	642.46921	662.38061	645.7589	648.38051
12	2	2	3	1	2	100	3	9	559.5284545	7	30	10	4	559.96437	579.77733	571.82544	584.94774
12	2	2	3	1	2	100	3	19	707.9157836	11	30	10	5	707.99594	742.76081	722.44001	735.53212
12	2	2	3	1	2	100	3	29	832.8929309	12	31	10	5	833.51452	878.26935	848.44964	861.03377
